EventID,Station,PGA,P-wave Marker Sample,Latitude,Longitude,Depth,1% g,2% g,5% g,10% g,20% g
2022-02-25T013928_6.2,JASI,-1.174951861,3400,-1.41453,101.45838,-0.253,6917,0,0,0,0
2022-02-25T013928_6.2,JMSI,-1.814725502,5420,-2.63715,101.88745,-1.275,0,0,0,0,0
2022-02-25T013928_6.2,JPSI,-1.083431498,2680,-1.34164,100.58645,-0.038,3048,0,0,0,0
2022-02-25T013928_6.2,KRJI,-1.876364838,4844,-2.0912,101.4619,-0.81088,0,0,0,0,0
2022-02-25T013928_6.2,LKSM,-0.096832722,1120,0.1845,100.6007,-0.186,1420,1526,2316,0,0
2022-02-25T013928_6.2,LLSI,-2.237150739,7090,-3.27843,102.9139,-0.129,0,0,0,0,0
2022-02-25T013928_6.2,LPSM,-0.961007782,3260,-1.7082,100.7196,-0.11,6288,0,0,0,0
2022-02-25T013928_6.2,MASI,-2.206949951,6370,-3.1415,102.2396,-0.3845,0,0,0,0,0
2022-02-25T013928_6.2,MBBI,-1.468522109,4420,-1.5406,102.0984,-0.113,9272,0,0,0,0
2022-02-25T013928_6.2,MBSM,-2.274702731,5780,-3.1451,101.8374,-0.037,0,0,0,0,0
2022-02-25T013928_6.2,MPSM,0.09373326898471175,580,0.5891,100.1383,-0.195,832,958,1503,1623,0
2022-02-25T013928_6.2,PAGA,-1.070193711,869,-0.25,100.382,0,1870,0,0,0,0
2022-02-25T013928_6.2,PAPA,-0.187786053,1160,-0.466,100.379,-0.726,1384,1528,2455,0,0
2022-02-25T013928_6.2,PASC,-1.076191777,1230,-0.545,100.29,-0.13,1606,0,0,0,0
2022-02-25T013928_6.2,PBSI,-2.451607269,2750,-0.0547,98.28,-0.047,0,0,0,0,0
2022-02-25T013928_6.2,PDSI,-2.337032667,1939,-0.9118,100.4617,-0.2756,0,0,0,0,0
2022-02-25T013928_6.2,PLSI,-0.318075357,869,0.23729,100.55398,-0.133,1217,1847,2175,0,0
2022-02-25T013928_6.2,PPSI,-2.738121502,4290,-2.766,100.01,-0.006,0,0,0,0,0
2022-02-25T013928_6.2,PRSI,-0.601814361,3010,0.37,102.17,0,3835,6021,0,0,0
2022-02-25T013928_6.2,PRSN,-0.96376151,1620,-0.7856,100.3048,-0.016,3383,3539,0,0,0
2022-02-25T013928_6.2,RASM,-1.344777475,4070,-2.1655,101.0708,-0.1,8319,0,0,0,0
2022-02-25T013928_6.2,RMSM,-2.103196937,7150,-2.62326,102.7617,-0.056,0,0,0,0,0
2022-02-25T013928_6.2,RRSI,-0.443068018,1180,0.84096,100.34611,-0.078,1782,2496,0,0,0
2022-02-25T013928_6.2,SBSI,-1.827143832,2210,1.3988,99.431,-0.29151,0,0,0,0,0
2022-02-25T013928_6.2,SBSM,-0.320056963,819,0.1983,99.3775,-0.001,1135,1287,2075,0,0
2022-02-25T013928_6.2,SDSI,-2.27801418,2880,-0.9325,101.428,-0.21332,0,0,0,0,0
2022-02-25T013928_6.2,SIRSI,-0.315982532,2490,0.86,101.66,0,0,4838,5185,0,0
2022-02-25T013928_6.2,SISI,-2.391212094,2730,-1.3265,99.0895,-0.0472,0,0,0,0,0
2022-02-25T013928_6.2,SKSM,-1.439887553,4070,-1.946,101.3497,-0.956,0,0,0,0,0
2022-02-25T013928_6.2,SLSI,-4.829530892,6632,-2.3924,102.5927,-0.07683,0,0,0,0,0
2022-02-25T013928_6.2,SLSM,-1.104690833,2080,-0.83132,100.65342,-0.389,3082,0,0,0,0
2022-02-25T013928_6.2,SNBI,-1.461623848,4250,0.963245,97.429538,-0.004,0,0,0,0,0
2022-02-25T013928_6.2,SSSM,-1.056409492,3410,-1.56407,101.23747,-0.563,4520,0,0,0,0
2022-02-25T013928_6.2,STSI,-1.311332084,4420,-2.38874,101.04783,-0.016,8919,0,0,0,0
2022-02-25T013928_6.2,TASI,-0.103025429,770,-0.3241,100.0791,-0.025,1023,1183,1690,0,0
2022-02-25T013928_6.2,TDNI,-1.870191171,3822,0.574382,97.819617,-0.059,0,0,0,0,0
2022-02-25T013928_6.2,TMSM,-2.133047741,4950,-2.69954,101.44633,-0.118,0,0,0,0,0
2022-02-25T013928_6.2,TRIYO,-1.663826211,3510,-2.0601,99.583,-0.088,0,0,0,0,0
2022-02-25T013928_6.2,UBSI,-2.239397652,6950,-3.7611,102.2714,-0.02805,0,0,0,0,0
2022-02-25T013928_6.2,ULSM,-2.823335783,7390,-3.7588,102.7941,-0.284,0,0,0,0,0
2022-02-25T013928_6.2,UTSM,-2.575685686,7609,-4.08339,102.72849,-0.113,0,0,0,0,0
2024-02-23T074628_5.3,ABSM,-3.690529722,6900,-3.4254,102.26295,-0.38,0,0,0,0,0
2024-02-23T074628_5.3,APSSI,-2.315491092,7620,-3.932,102.465,-0.226,0,0,0,0,0
2024-02-23T074628_5.3,BKASI,-0.662155012,3250,-0.202,100.318,-0.853,3555,4334,0,0,0
2024-02-23T074628_5.3,BKNI,-3.292553932,4490,0.3262,101.0396,-0.065,0,0,0,0,0
2024-02-23T074628_5.3,BMSI,-2.456113088,6280,-2.06641,102.31544,-0.135,0,0,0,0,0
2024-02-23T074628_5.3,BPSM,-1.911141293,3490,-1.1924,100.58998,-0.11,0,0,0,0,0
2024-02-23T074628_5.3,GSI,-4.024705856,3500,1.3039,97.5755,-0.107,0,0,0,0,0
2024-02-23T074628_5.3,JASI,-2.535281195,4750,-1.41453,101.45838,-0.253,0,0,0,0,0
2024-02-23T074628_5.3,JMSI,-2.62369229,5880,-2.63715,101.88745,-1.275,0,0,0,0,0
2024-02-23T074628_5.3,JPSI,-2.117174727,3560,-1.34164,100.58645,-0.038,0,0,0,0,0
2024-02-23T074628_5.3,KRJI,-2.241391541,5140,-2.0912,101.4619,-0.81088,0,0,0,0,0
2024-02-23T074628_5.3,LBTSI,-1.334202281,3560,-0.475,100.625,-0.417,6763,0,0,0,0
2024-02-23T074628_5.3,LKSM,-2.20356789,120,0.1845,100.6007,-0.186,0,0,0,0,0
2024-02-23T074628_5.3,LLSI,-2.359491253,7580,-3.27843,102.9139,-0.129,0,0,0,0,0
2024-02-23T074628_5.3,LPSM,-2.053955328,3829,-1.7082,100.7196,-0.11,0,0,0,0,0
2024-02-23T074628_5.3,LTNSI,-1.006424092,3679,1.336,97.32,-0.052,6301,0,0,0,0
2024-02-23T074628_5.3,MBBI,-2.759219336,5620,-1.5406,102.0984,-0.113,0,0,0,0,0
2024-02-23T074628_5.3,MBSM,-2.777797675,6120,-3.1451,101.8374,-0.037,0,0,0,0,0
2024-02-23T074628_5.3,MKBI,-2.580064295,4970,-2.4474,101.2396,-0.04821,0,0,0,0,0
2024-02-23T074628_5.3,MNSI,-2.955832426,3040,0.7955,99.5796,-0.2944,0,0,0,0,0
2024-02-23T074628_5.3,MPSM,-2.312135475,3420,0.5891,100.1383,-0.195,0,0,0,0,0
2024-02-23T074628_5.3,PAGA,-3.086061546,3630,-0.25,100.382,0,0,0,0,0,0
2024-02-23T074628_5.3,PAPA,-1.871904103,3130,-0.466,100.379,-0.726,0,0,0,0,0
2024-02-23T074628_5.3,PASC,-2.025797447,2970,-0.545,100.29,-0.13,0,0,0,0,0
2024-02-23T074628_5.3,PASMI,-1.088073615,4330,-2.9646,100.2028,-0.039,7695,0,0,0,0
