nama_stasiun,Latitude,Longitude,Depth,Kecamatan,Kabupaten,Provinsi
SDSI,-0.9325,101.428,-0.21332,Sungai Dareh,Dharmasraya,Sumatera Barat
SIRSI,0.86,101.66,0,Siak,Siak,Riau
SISI,-1.3265,99.0895,-0.0472,Pulau Saibi,Kepulauan Mentawai,Sumatera Barat
SISMI,-1.7806,99.14018,-0.039,Siberut BaratDaya,Kepulauan Mentawai,Sumatera Barat
SIUMI,-1.126,98.98,-0.009,Siberut Utara,Kepulauan Mentawai,Sumatera Barat
SKSM,-1.946,101.3497,-0.956,Siulak Mukai,Kerinci,Jambi
SLSI,-2.3924,102.5927,-0.07683,Sarolangun,Sarolangun,Jambi
SLSM,-0.83132,100.65342,-0.389,Sungai Lasi,Solok,Sumatera Barat
SMSM,-0.005923,100.17103,-0.361,Simpati,Pasaman,Sumatera Barat
SNBI,0.963245,97.429538,-0.004,Sirombu,Nias Barat,Sumatera Utara
SSSM,-1.56407,101.23747,-0.563,Sangir,Solok Selatan,Sumatera Barat
STSI,-2.38874,101.04783,-0.016,Silaut,Pesisir Selatan,Sumatera Barat
SUSM,-5.0212,104.2945,-1.055,Sekincau,Lampung Barat,Lampung
TASI,-0.3241,100.0791,-0.025,Tanjung Raya,Agam,Sumatera Barat
TDNI,0.574382,97.819617,-0.059,Teluk Dalam,Nias Selatan,Sumatera Utara
TMSM,-2.69954,101.44633,-0.118,Teramang Jaya,Mukomuko,Bengkulu
TNSR,1.46933,97.44152,0,Tuhemberua,Nias Utara,Sumatera Utara
TRIYO,-2.0601,99.583,-0.088,Sipora Selatan,Kepulauan Mentawai,Sumatera Barat
TRSI,2.0256,98.9594,-0.9785,Tarutung,Tapanuli Utara,Sumatera Utara
TTSM,1.0856,99.4108,-0.173,Tano Tombangan Angkola,Tapanuli Selatan,Sumatera Utara
UBSI,-3.7611,102.2714,-0.02805,Universitas Bengkulu,Bengkulu,Bengkulu
ULSM,-3.7588,102.7941,-0.284,Ulu Musi,Empat Lawang,Sumatera Selatan
UMKSI,-3.59,102.548,-0.709,Daspetah II,Kepahiang,Bengkulu
UTSM,-4.08339,102.72849,-0.113,Ulu Talo,Seluma,Bengkulu
